post_id,image_ID,comments_count,likes_count,followers,author_name,caption,date,year,month,day,category
kayaancontractor_100226_2868439159916464863_205_2,2022-06-25_13-43-36_UTC_1.jpg,2,205,0,kayaancontractor,"“Got your nose!”🫶🏻 #caturday 
.
#saturday #lifeofkai #kaicontractor #kaikitty #kayaancontractor #shapeshifterin",2022-06-2,2022,6,2,Core Influencers
kayaancontractor_100226_2868439159916464863_205_2,2022-06-25_13-43-36_UTC_2.jpg,2,205,0,kayaancontractor,"“Got your nose!”🫶🏻 #caturday 
.
#saturday #lifeofkai #kaicontractor #kaikitty #kayaancontractor #shapeshifterin",2022-06-2,2022,6,2,Core Influencers
kayaancontractor_100226_2868439159916464863_205_2,2022-06-25_13-43-36_UTC_3.jpg,2,205,0,kayaancontractor,"“Got your nose!”🫶🏻 #caturday 
.
#saturday #lifeofkai #kaicontractor #kaikitty #kayaancontractor #shapeshifterin",2022-06-2,2022,6,2,Core Influencers
masoomminawala_1355818_3045266610416022503_83647_881,2023-02-24_13-08-10_UTC_1.jpg,881,83647,0,masoomminawala,🦁,2023-02-2,2023,2,2,Core Influencers
masoomminawala_1355818_3045266610416022503_83647_881,2023-02-24_13-08-10_UTC_2.jpg,881,83647,0,masoomminawala,🦁,2023-02-2,2023,2,2,Core Influencers
masoomminawala_1355818_3033605769618108996_14762_87,2023-02-08_11-00-10_UTC_1.jpg,87,14762,0,masoomminawala,"Colour I have been loving lately: 🤍🕊️

Top: @renasci.in 
Pant: @sesaaofficial 
Shoes: @gucci 
Bag: @aspinaloflondon 
Shot by @aviraj

#Sourced",2023-02-0,2023,2,0,Core Influencers
masoomminawala_1355818_3033605769618108996_14762_87,2023-02-08_11-00-10_UTC_2.jpg,87,14762,0,masoomminawala,"Colour I have been loving lately: 🤍🕊️

Top: @renasci.in 
Pant: @sesaaofficial 
Shoes: @gucci 
Bag: @aspinaloflondon 
Shot by @aviraj

#Sourced",2023-02-0,2023,2,0,Core Influencers
masoomminawala_1355818_3033605769618108996_14762_87,2023-02-08_11-00-10_UTC_3.jpg,87,14762,0,masoomminawala,"Colour I have been loving lately: 🤍🕊️

Top: @renasci.in 
Pant: @sesaaofficial 
Shoes: @gucci 
Bag: @aspinaloflondon 
Shot by @aviraj

#Sourced",2023-02-0,2023,2,0,Core Influencers
shwetarohira_533824_3025671556883784297_27471_111,2023-01-28_12-16-18_UTC.jpg,111,27471,0,shwetarohira,"Feeling like a 🦩💕
.
.
.",2023-01-2,2023,1,2,Core Influencers
taramilktea_1371196_2995209944266875308_15974_2089,2022-12-17_11-34-31_UTC_1.jpg,2089,15974,0,taramilktea,"Underneath the tree … the ultimate gifts, @dior via dior.com ✨✨✨",2022-12-1,2022,12,1,Core Influencers
taramilktea_1371196_2995209944266875308_15974_2089,2022-12-17_11-34-31_UTC_2.jpg,2089,15974,0,taramilktea,"Underneath the tree … the ultimate gifts, @dior via dior.com ✨✨✨",2022-12-1,2022,12,1,Core Influencers
taramilktea_1371196_2995209944266875308_15974_2089,2022-12-17_11-34-31_UTC_3.jpg,2089,15974,0,taramilktea,"Underneath the tree … the ultimate gifts, @dior via dior.com ✨✨✨",2022-12-1,2022,12,1,Core Influencers
taramilktea_1371196_2995209944266875308_15974_2089,2022-12-17_11-34-31_UTC_4.jpg,2089,15974,0,taramilktea,"Underneath the tree … the ultimate gifts, @dior via dior.com ✨✨✨",2022-12-1,2022,12,1,Core Influencers
taramilktea_1371196_2995209944266875308_15974_2089,2022-12-17_11-34-31_UTC_5.jpg,2089,15974,0,taramilktea,"Underneath the tree … the ultimate gifts, @dior via dior.com ✨✨✨",2022-12-1,2022,12,1,Core Influencers
taramilktea_1371196_2995209944266875308_15974_2089,2022-12-17_11-34-31_UTC_6.jpg,2089,15974,0,taramilktea,"Underneath the tree … the ultimate gifts, @dior via dior.com ✨✨✨",2022-12-1,2022,12,1,Core Influencers
taramilktea_1371196_2995209944266875308_15974_2089,2022-12-17_11-34-31_UTC_7.jpg,2089,15974,0,taramilktea,"Underneath the tree … the ultimate gifts, @dior via dior.com ✨✨✨",2022-12-1,2022,12,1,Core Influencers
taramilktea_1371196_2995209944266875308_15974_2089,2022-12-17_11-34-31_UTC_8.jpg,2089,15974,0,taramilktea,"Underneath the tree … the ultimate gifts, @dior via dior.com ✨✨✨",2022-12-1,2022,12,1,Core Influencers
